Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Salmon,14.78,7.01,6.85,9.28,28.74,1.23,48.44
Goldfish,13.93,7.12,8.89,7.27,3.02,0.45,8.99
Bass,15.2,6.48,37.58,8.32,9.45,2.55,18.82
Tilapia,26.76,6.8,19.81,5.21,2.92,1.37,6.53
Goldfish,,7.53,10.3,5.12,1.78,2.96,24.9
Eel,24.18,7.03,13.91,4.7,21.99,2.83,42.74
Eel,8.04,6.06,19.52,4.92,15.025827850075355,0.47,41.03
Eel,12.35,7.58,14.78,3.05,7.63,1.5,42.31
Salmon,14.9,7.24,4.07,8.94,27.25,0.22,
Catfish,21.68,7.94,22.73,5.34,2.67,0.84,14.35
Catfish,20.89,7.12,10.73,3.99,2.18,2.99,44.27
Tilapia,26.02,6.56,35.75,6.83,2.12,1.91,31.64
Catfish,20.0,7.32,46.77,6.37,0.37,0.85,20.97
Goldfish,23.72,8.27,8.78,6.38,1.34,1.49,49.54
Bass,23.53,6.9,28.81,6.26,3.65,1.65,15.25
Catfish,26.17,7.64,74.37,6.48,,0.94,22.61
Goldfish,23.69,7.03,13.65,6.96,4.3,2.63,
Clownfish,25.23,8.01,0.76,7.27,33.21,2.39,47.64
Clownfish,26.05,,1.09,6.75,30.77,2.56,8.77
Salmon,30.006078668625754,6.66,0.45,8.0,16.05,0.15,44.12
Bass,19.85,6.23,18.06,7.73,8.72,0.5,23.76
Eel,10.07,7.22,25.66,6.06,24.15,0.92,44.77
Bass,19.51,6.75,47.91,9.0,4.56,2.86,17.84
Trout,15.32,7.43,2.34,8.97,3.23,1.28,28.17
Eel,19.3,7.18,16.65,6.77,6.12,2.19,7.92
Trout,12.81,7.43,5.38,9.29,2.07,0.59,0.98
Goldfish,13.42,7.96,,7.71,4.6,2.92,31.9
Tilapia,22.6,7.67,11.96,5.02,3.39,1.9,33.54
,21.53,6.2,82.96,6.65,0.36,1.53,3.4
Salmon,11.17,6.9,4.78,6.66,30.62,1.52,20.64
Clownfish,25.96,7.93,0.99,5.58,29.05,2.78,7.64
Trout,16.57,7.18,0.38,8.64,3.89,1.97,
Salmon,8.86,6.78,2.15,6.45,32.96,0.9,47.51
Eel,11.41,7.13,14.19,7.44,12.22,2.44,0.07
Trout,11.58,,2.99,8.48,4.72,0.87,43.25
Salmon,11.62,7.11,5.92,9.0,22.08,1.74,4.71
Trout,17.5,6.55,1.65,11.7,3.65,2.26,44.61
Eel,9.38,7.73,26.74,3.57,23.72,2.3,24.57
Clownfish,24.66,8.39,3.05,5.26,30.97,0.57,23.05
Bass,18.35,7.28,8.2,8.89,9.56,0.65,
Trout,,7.38,6.51,7.03,1.48,0.78,20.27
Bass,24.61,7.12,36.24,7.42,8.41,1.05,39.14
Eel,11.25,6.18,20.67,7.51,8.29,0.79,14.0
Eel,22.45,6.86,20.66,5.88,21.54,2.11,15.13
Salmon,11.15,6.76,8.51,10.33,11.84,2.82,6.64
Trout,17.34,7.25,,10.94,2.01,1.43,33.48
Bass,18.59,6.69,35.48,5.31,9.25,2.71,20.32
Goldfish,21.07,7.59,8.75,5.12,2.99,2.36,49.31
Bass,25.0,7.11,24.74,8.87,8.63,0.03,18.71
Bass,19.91,7.23,32.88,8.73,7.59,0.81,4.4
Trout,16.78,7.04,2.46,10.34,3.96,0.93,4.57
,13.52,6.65,8.0,,31.66,0.26,
Trout,15.5,7.15,,9.21,3.24,1.55,28.98
Goldfish,20.69,8.31,12.93,6.68,0.92,1.78,1.27
Goldfish,20.73,7.87,17.0,6.46,0.37,2.07,10.21
Eel,8.8,7.34,13.94,,29.2,0.38,
Bass,24.0,6.02,36.43,6.21,9.57,0.48,44.02
Tilapia,,,46.35,4.86,0.11,1.55,32.82
Eel,13.83,6.27,27.96,5.92,27.51,0.53,43.29
Trout,,7.3,2.77,11.62,0.27,0.92,47.1
Eel,7.2,6.67,15.23,6.73,27.54,1.92,13.92
Trout,17.16,7.26,1.73,11.04,2.9,0.43,46.74
Bass,18.62,6.98,38.54,5.67,2.3,0.18,48.82
Clownfish,25.83,7.91,0.63,,33.97,0.48,9.5
Tilapia,28.6,6.61,39.18,6.02,,0.48,18.91
Tilapia,22.84,7.54,25.02,6.77,3.33,1.95,46.52
Clownfish,25.03,8.08,3.38,7.93,29.02,0.23,0.19
Trout,10.36,7.36,9.1,9.1,1.2,1.51,18.35
Salmon,8.82,6.84,8.29,8.94,18.69,1.67,10.2
Tilapia,26.11,7.2,,6.09,1.67,0.72,7.32
Trout,16.81,6.56,6.64,11.95,0.27,2.06,21.63
Tilapia,24.77,7.88,28.06,4.39,3.41,0.47,11.84
Salmon,9.73,7.43,5.51,11.7,,1.85,21.46
Bass,16.41,7.33,9.11,7.55,2.63,1.14,43.18
Clownfish,25.92,4.679883406332268,4.96,7.34,32.3,2.7,
Goldfish,23.04,7.77,6.64,6.57,4.59,2.47,15.37
Clownfish,25.82,8.38,3.42,7.56,,2.02,48.81
Clownfish,,8.23,1.43,5.07,34.82,1.92,44.21
Clownfish,24.73,8.0,1.46,5.3,31.85,0.2,9.04
Trout,12.25,7.47,8.08,9.08,0.16,,47.7
Bass,24.95,6.06,19.28,9.33,4.84,0.44,9.03
Bass,19.29,7.2,14.88,7.2,9.11,,19.91
Trout,14.33,7.45,8.61,11.51,0.12,0.2,26.94
Clownfish,27.12,8.39,3.27,,33.94,2.36,4.88
Goldfish,12.08,7.75,16.04,7.78,0.1,1.56,8.55
Eel,20.75,7.06,15.04,6.8,,,35.07
Tilapia,29.17,6.51,37.57,6.04,2.22,0.64,14.01
Catfish,24.04,7.87,56.72,5.4,3.67,2.39,19.12
Trout,12.05,7.22,0.36,7.41,1.54,1.76,0.79
Eel,10.83,6.07,14.42,7.35,9.2,0.33,49.85
Goldfish,22.76,7.78,5.81,5.6,2.99,0.39,13.46
Goldfish,19.64,8.39,7.49,6.55,2.43,2.71,15.97
Catfish,24.68,7.43,,,0.56,2.75,16.65
Eel,8.56,7.86,28.56,6.67,12.61,0.8,38.39
Catfish,20.26,7.07,62.48,6.55,2.18,1.42,32.45
Goldfish,13.26,7.45,6.27,7.07,0.99,2.13,27.26
Trout,12.77,6.68,2.34,7.62,2.54,0.62,14.95
Eel,18.43,6.63,12.7,6.32,22.05,0.03,
Catfish,20.34,6.78,43.16,6.59,1.04,1.87,0.06
Trout,13.72,7.29,5.73,8.69,4.35,2.82,46.94
Trout,10.84,6.71,5.71,11.64,3.76,1.43,38.57
Clownfish,25.1,7.88,2.84,7.16,34.08,2.22,1.97
Eel,,7.52,19.31,4.21,19.48,1.15,2.21
Trout,17.98,7.11,9.43,10.39,,0.61,46.23
Salmon,14.91,6.87,0.7,9.08,33.44,1.47,48.12
Goldfish,15.48,7.45,13.79,7.2,0.3,1.9,46.11
Salmon,11.19,7.37,0.11,6.65,29.49,2.62,17.59
Goldfish,15.78,,19.15,6.04,4.37,2.24,16.88
Eel,11.03,6.64,22.57,4.89,22.23,2.78,40.57
Eel,12.47,,17.02,6.1,25.89,0.32,35.23
Clownfish,24.24,8.04,3.28,7.74,30.79,0.23,26.91
Clownfish,26.55,7.97,1.37,7.6,28.41,1.92,2.39
Catfish,21.88,7.04,61.75,3.967040007450927,4.39,2.8,41.17
Eel,13.99,6.59,23.27,3.38,14.79,1.03,41.88
Clownfish,27.49,7.86,4.56,5.69,31.13,0.72,
Eel,10.21,7.68,15.69,6.62,23.54,1.56,19.97
Tilapia,23.54,6.84,15.36,5.77,4.37,1.23,35.47
Eel,16.1,7.18,29.34,3.19,27.23,1.99,41.08
Salmon,8.05,6.65,9.88,3.4286345839356,31.82,0.31,28.25
Tilapia,27.13,7.31,37.85,6.67,0.2,1.49,24.84
Trout,13.66,6.99,4.6,8.81,3.46,1.98,21.25
Bass,19.15,7.32,17.42,4.38,5.4,2.11,21.42
Bass,17.57,7.02,48.23,6.5,5.37,1.54,32.2
Catfish,27.74,7.43,71.92,5.2,3.7,0.93,45.32
Trout,12.23,7.18,2.25,7.92,2.37,0.36,11.65
Goldfish,17.78,8.3,10.52,7.49,3.06,2.64,31.02
Tilapia,25.03,7.66,,,1.35,1.23,48.03
Salmon,10.6,6.68,6.29,10.21,27.32,1.38,42.77
Eel,14.78,6.9,27.39,4.77,20.57,1.04,6.02
Bass,24.09,7.06,29.09,9.73,4.32,0.28,13.45
Bass,15.6,,14.75,7.25,4.72,2.36,21.04
Clownfish,26.63,7.88,2.64,7.35,32.05,1.91,12.46
Trout,12.53,7.3,5.7,8.15,40.88054882929956,0.21,39.54
Bass,19.75,6.44,,7.49,0.29,,33.27
Tilapia,26.11,6.97,35.41,4.5,1.78,0.27,6.98
Eel,20.53,6.89,16.12,6.2,,0.41,14.44
Salmon,11.68,6.93,9.63,10.21,15.11,1.57,5.99
Trout,12.89,6.61,3.66,9.47,4.99,2.15,35.42
,13.89,6.95,7.82,9.86,1.93,1.89,34.52
Salmon,10.68,7.11,0.95,8.18,,0.62,27.18
Salmon,13.91,6.89,,11.96,10.51,1.69,16.58
Goldfish,12.05,8.38,10.93,5.24,0.65,2.05,21.79
Salmon,9.79,7.06,8.57,11.29,28.65,1.64,47.98
Eel,16.96,7.28,22.01,5.95,13.39,0.58,44.97
Trout,11.59,7.03,5.3,10.29,3.9,2.39,35.7
Catfish,20.45,6.9,,6.13,3.5,1.7,31.78
Catfish,20.92,6.25,40.26,4.31,0.21,1.28,15.04
Tilapia,25.87,6.82,,7.23,4.38,2.43,47.16
Catfish,24.22,6.21,39.63,5.51,3.2,1.85,5.39
Catfish,23.63,6.57,24.48,5.14,0.82,2.95,45.26
Trout,13.33,6.88,5.71,8.42,0.85,,19.95
Clownfish,27.94,8.22,2.7,6.52,34.89,0.65,44.87
Tilapia,28.27,7.18,26.26,7.15,3.61,1.51,20.87
Trout,11.57,7.15,7.97,11.3,3.42,2.74,26.08
Trout,10.81,7.26,7.94,9.95,0.83,1.21,39.2
Bass,16.16,6.1,11.55,7.23,4.46,0.64,45.99
Goldfish,23.49,7.9,16.66,,4.31,0.8,36.88
Eel,13.65,6.81,27.24,,9.04,1.43,1.99
Trout,10.63,7.32,3.95,8.55,,0.91,8.14
Eel,9.85,,12.69,3.67,22.14,2.23,
Goldfish,,7.3,16.13,5.8,3.0,0.46,31.93
Eel,9.9,7.74,27.79,3.34,20.15,0.88,33.26
Trout,17.54,6.88,3.63,11.78,2.16,2.38,11.31
Eel,17.08,6.07,13.76,4.81,16.91,0.85,4.26
Clownfish,25.6,8.25,0.26,5.61,28.44,0.75,2.55
Salmon,11.26,7.17,2.86,10.15,,0.9,10.04
Goldfish,10.39,7.93,17.74,5.12,2.78,1.57,46.5
Catfish,27.55,6.21,88.24,4.96,4.79,2.19,25.9
Clownfish,27.57,8.14,1.7,5.18,33.89,1.61,4.97
,14.78,6.88,7.8,7.87,0.98,1.33,47.95
Eel,23.54,6.05,28.21,7.23,26.02,0.0,12.62
,26.34,6.86,86.73,4.18,2.85,0.8,38.46
,17.77,6.82,0.38,10.21,,1.27,
Eel,11.33,6.27,,6.29,,1.74,45.67
Salmon,13.86,6.65,,8.81,13.81,0.24,32.08
Clownfish,24.44,7.95,1.2,7.18,31.24,1.12,41.6
Catfish,25.62,,82.84,4.49,1.22,2.19,2.78
Goldfish,13.65,8.34,19.63,7.63,2.34,1.46,14.77
Goldfish,20.46,7.78,11.81,5.21,1.49,0.43,47.72
Goldfish,21.95,7.07,14.42,5.89,0.24,0.06,
Catfish,25.17,6.7,33.98,5.2,1.19,0.36,12.97
Salmon,11.41,,3.18,8.51,22.25,1.92,16.55
Goldfish,18.73,8.33,5.68,6.6,2.6,1.89,10.49
Goldfish,14.3,7.84,,7.07,2.86,2.63,31.12
Bass,18.95,6.71,25.7,4.43,3.29,1.98,6.86
Salmon,8.96,6.75,5.37,9.51,13.19,1.2,32.83
Salmon,14.47,6.66,1.18,11.64,33.78,0.96,24.62
Catfish,25.8,6.54,89.35,5.07,3.49,0.2,10.89
Salmon,13.81,7.18,1.26,10.08,34.91,0.25,16.1
,18.62,6.51,11.5,7.11,3.84,0.66,45.42
Goldfish,22.44,,5.22,5.92,3.52,2.36,18.69
Bass,24.21,7.15,29.26,4.91,1.9,0.58,7.9
Trout,13.44,6.97,1.69,9.02,3.62,1.81,25.27
Trout,17.26,7.14,3.18,9.74,1.41,2.23,33.46
Catfish,25.1,6.11,56.98,6.01,2.31,,10.43
Salmon,8.11,7.26,,11.76,18.739819977281847,1.34,1.07
Salmon,9.07,7.17,8.1,7.52,19.93,2.35,10.7
Eel,15.01,7.36,21.86,6.57,9.77,0.85,18.89
Eel,23.42,6.62,19.64,6.1,17.82,2.58,13.21
Catfish,27.12,6.74,46.64,4.27,,2.41,31.11
Tilapia,26.14,7.94,41.51,4.53,4.56,1.92,15.02
Catfish,,7.66,,6.86,4.17,2.66,36.95
Bass,23.16,7.32,15.02,,2.53,2.5,32.22
Salmon,11.45,6.51,5.28,8.83,30.03,2.3,15.43
Catfish,23.61,7.4,,5.71,1.09,1.75,45.74
Clownfish,25.74,8.33,0.98,7.1,33.1,1.71,29.49
Goldfish,18.75,8.22,14.22,5.6,0.96,2.45,
Bass,17.09,6.89,49.55,4.79,9.83,2.89,15.64
Catfish,27.75,6.67,80.71,4.75,3.49,1.53,11.26
,18.0,7.12,7.72,8.66,3.35,0.77,47.43
Goldfish,24.48,7.26,19.43,5.92,4.14,0.46,1.05
Goldfish,48.10095007515654,7.45,8.92,,0.92,0.6,29.24
Salmon,8.49,,2.6,10.9,14.96,0.67,34.88
Catfish,25.07,,71.85,4.18,2.64,1.65,16.89
Eel,14.82,6.27,10.93,4.33,8.31,1.68,38.01
Goldfish,-7.278279001498378,7.11,12.85,7.5,1.09,2.75,48.67
Catfish,21.07,6.18,,5.11,0.22,1.84,29.19
Catfish,27.69,6.26,31.53,6.12,1.96,1.93,5.21
Trout,,7.2,5.54,11.48,1.96,1.04,30.33
Clownfish,27.95,8.02,4.89,6.41,30.56,0.9,29.17
Catfish,27.89,6.65,31.17,5.07,1.96,2.41,43.83
Clownfish,27.22,8.0,1.48,5.94,29.68,0.94,4.61
Eel,14.26,7.2,13.61,3.3,6.13,1.74,18.38
Catfish,27.11,6.83,21.0,4.5,,0.13,13.19
Clownfish,27.97,8.02,1.06,7.29,30.29,1.28,44.46
Goldfish,19.55,7.84,11.81,7.63,3.75,2.5,45.67
Catfish,,6.98,10.74,3.21,0.61,0.79,26.05
Bass,23.76,,43.29,7.09,5.82,1.0,37.88
Tilapia,28.19,7.79,29.21,4.82,4.69,2.87,
Tilapia,28.36,7.26,44.35,,2.49,1.94,2.72
Tilapia,28.8,7.44,44.98,7.03,0.12,0.2,42.64
Catfish,24.51,6.35,22.97,3.09,4.09,0.59,3.6
Bass,15.29,6.82,27.17,6.98,0.39,0.38,2.11
Salmon,12.5,6.72,2.97,9.42,14.53,1.19,42.56
Salmon,11.29,6.64,1.01,10.05,29.78,,29.13
Trout,10.13,7.05,7.29,11.55,4.24,2.82,5.53
Clownfish,25.02,8.39,3.25,6.73,30.91,2.82,6.92
Trout,15.29,6.75,5.02,8.12,0.61,0.09,29.9
Catfish,20.45,6.39,25.1,4.29,1.54,,45.43
Goldfish,11.34,8.28,6.64,6.74,4.47,1.92,35.2
Goldfish,17.96,7.43,9.6,5.43,1.36,2.5,45.7
Clownfish,24.63,8.29,2.78,5.64,31.57,2.41,16.71
Bass,23.66,6.6,48.18,8.84,8.63,1.79,38.89
Bass,17.16,6.23,10.0,7.39,7.17,2.34,20.97
,26.83,8.3,2.37,5.47,33.62,1.76,2.87
Trout,11.17,7.01,1.72,9.68,3.32,1.09,26.21
Goldfish,15.73,7.02,9.7,7.92,2.37,1.02,43.32
Bass,18.86,6.14,31.35,9.82,6.8,0.77,11.9
Clownfish,25.71,7.95,2.96,6.68,29.83,2.81,46.35
Bass,15.5,7.49,9.29,9.31,8.06,0.13,33.15
Eel,13.64,6.39,21.42,3.35,12.07,1.13,11.01
Bass,16.98,7.3,26.73,4.36,9.94,2.37,35.52
Salmon,9.47,6.66,1.84,8.29,27.68,2.87,13.4
Goldfish,12.43,7.54,15.66,7.87,0.55,1.24,11.68
Eel,6.23,7.2,27.61,7.03,27.8,2.31,21.07
Eel,24.93,6.19,12.12,3.35,,2.81,42.95
Catfish,22.11,7.06,36.09,4.21,3.21,2.03,38.25
Tilapia,27.89,7.47,48.67,6.86,3.71,2.04,0.77
Catfish,22.95,7.88,54.01,5.46,,0.23,36.07
Clownfish,27.46,7.82,4.03,6.86,28.83,2.75,5.31
Eel,8.19,7.62,29.99,3.36,24.04,0.6,18.69
Salmon,12.05,6.76,6.98,10.16,16.44,2.99,46.39
Clownfish,26.86,8.31,0.5,6.89,,2.49,
Goldfish,17.74,7.87,16.09,6.74,3.74,,31.99
Goldfish,15.29,,19.96,5.76,3.4,1.49,20.02
Clownfish,27.96,8.07,0.59,7.69,34.6,2.02,32.47
Salmon,9.53,7.18,7.02,7.8,28.61,1.18,47.16
Trout,18.0,6.63,6.92,9.46,2.18,0.75,20.73
Catfish,23.09,7.74,99.76,6.43,2.84,0.47,2.02
Eel,,7.88,28.31,3.5,9.47,2.93,36.64
Eel,,6.19,,5.8,26.89,2.36,11.68
Eel,10.95,6.38,10.64,6.67,29.87,0.9,4.25
Tilapia,23.66,7.06,41.26,5.95,0.89,2.6,34.91
Trout,15.17,7.31,2.89,11.7,3.53,0.33,
Bass,16.5,7.02,39.94,9.88,5.65,0.31,24.99
Salmon,8.56,7.21,3.64,9.91,32.71,2.36,2.63
Bass,15.72,6.41,49.64,6.03,0.11,,0.27
Salmon,11.23,6.68,,9.62,33.39,0.77,33.14
,26.58,7.43,18.67,6.3,2.9,1.83,21.45
Catfish,22.18,7.25,39.63,6.2,4.17,0.9,0.74
Trout,16.34,7.14,2.44,7.15,3.21,2.79,1.41
Goldfish,24.19,8.15,17.71,7.65,1.15,0.57,21.62
Catfish,22.76,7.34,16.03,3.13,4.39,0.67,2.83
Bass,15.87,7.44,11.96,,8.81,2.98,39.53
Salmon,8.04,7.2,5.19,10.97,,0.67,45.46
Salmon,11.33,6.71,3.85,8.7,31.98,2.89,14.96
Eel,13.79,6.2,16.61,3.91,8.8,1.08,30.56
,27.77,6.5,10.49,3.4,1.33,0.57,7.12
Tilapia,25.19,6.79,16.64,7.84,2.51,2.44,42.82
Goldfish,15.24,,13.71,6.12,2.1,0.81,41.1
Clownfish,25.68,8.03,2.53,6.04,30.69,2.11,8.12
Salmon,11.34,7.11,9.29,10.52,27.49,2.57,29.57
Clownfish,24.33,8.29,4.9,5.56,30.22,2.26,35.23
,19.89,8.03,9.05,6.56,4.11,0.02,0.12
Goldfish,12.23,7.24,15.74,5.21,1.68,0.67,45.68
,20.62,6.6,14.96,9.85,6.2,0.21,45.34
Tilapia,27.61,,18.13,4.52,0.12,0.73,13.33
Clownfish,24.69,8.27,4.39,6.95,31.68,1.71,12.9
Eel,20.02,6.73,20.75,6.06,21.66,1.36,48.71
Goldfish,15.81,7.54,13.16,7.93,1.16,0.3,45.8
Salmon,9.4,6.72,5.03,11.02,32.32,0.55,14.69
Trout,11.47,7.45,1.66,9.65,4.27,0.4,8.0
Trout,10.04,6.97,0.07,11.03,3.94,0.94,41.73
Bass,16.36,6.09,18.61,4.34,5.62,1.99,25.09
Salmon,10.6,7.28,0.1,6.44,10.25,1.1,29.4
Catfish,27.62,7.68,48.39,5.37,3.21,1.1,14.12
Eel,16.33,6.51,19.19,4.72,15.73,1.44,48.19
Trout,13.16,6.92,6.94,11.03,4.21,0.11,20.07
Catfish,26.48,7.78,29.66,5.34,0.25,2.0,45.26
Clownfish,27.49,8.23,4.33,6.47,30.24,1.85,29.39
Catfish,22.64,6.04,72.64,3.41,4.28,2.57,9.51
,23.85,7.98,28.61,5.21,0.93,0.02,38.35
Bass,19.65,6.01,20.4,4.59,,0.72,
Tilapia,24.93,7.66,29.24,5.3,4.27,1.62,28.45
Catfish,24.69,6.72,20.41,6.26,2.13,2.83,15.46
Clownfish,25.41,8.21,3.13,5.1,30.65,2.16,25.71
Bass,16.71,6.84,43.73,7.6,2.69,2.58,35.25
Goldfish,10.7,7.04,5.91,5.5,3.22,1.93,29.03
Catfish,23.1,6.9,60.41,3.91,1.7,0.31,23.38
Clownfish,24.39,8.04,0.34,7.34,32.5,2.04,4.94
Eel,9.35,7.91,11.39,6.44,8.56,2.98,33.8
Tilapia,26.23,,48.63,6.02,,1.87,4.13
Eel,22.57,7.06,17.78,4.37,17.76,0.0,2.25
Catfish,20.39,,99.83,4.11,0.44,0.7,25.58
Eel,18.95,7.49,22.57,5.32,11.4,1.97,2.58
Trout,10.72,7.44,,8.55,0.89,2.29,6.93
Bass,24.88,7.48,21.83,8.26,5.87,2.85,47.39
Catfish,23.97,6.5,52.51,4.44,,2.28,30.7
Bass,24.71,6.88,39.65,,0.55,0.89,11.95
Goldfish,16.32,7.05,5.84,6.6,4.97,1.65,
Eel,9.54,7.21,10.82,6.18,26.09,1.29,31.83
Tilapia,27.17,,13.89,,0.62,0.8,
Tilapia,26.84,7.95,22.02,7.97,3.38,1.81,7.15
Trout,,7.13,9.44,8.09,1.99,1.18,0.29
Eel,12.46,6.68,,3.24,26.58,1.97,
Bass,,6.89,20.3,,2.49,,46.84
Tilapia,23.84,7.16,49.37,4.72,4.23,2.48,23.8
Trout,13.77,6.63,8.56,9.55,4.79,2.02,15.58
,25.09,8.11,4.64,5.47,34.25,2.78,13.41
Eel,,7.34,21.39,8.0,13.23,,6.08
Clownfish,24.58,8.33,4.26,7.32,33.96,2.13,21.36
Bass,,7.3,27.82,5.02,8.79,1.66,45.24
Bass,17.71,7.01,36.38,6.86,2.48,1.4,11.16
Clownfish,27.78,7.99,3.96,,29.91,2.0,12.82
Tilapia,25.66,7.31,25.84,7.28581726086605,,1.65,6.09
Bass,18.42,6.86,25.79,6.64,0.72,1.35,36.41
Trout,15.09,6.77,8.99,9.13,2.01,0.96,37.37
Catfish,20.45,6.78,92.39,5.35,4.74,1.92,30.95
,18.14,6.69,24.56,6.6,5.02,1.98,22.58
Goldfish,22.01,7.44,15.35,7.9,0.28,1.33,18.03
Salmon,14.38,6.91,6.41,6.18,22.53,0.19,30.45
Tilapia,28.03,7.6,,7.56,2.9,0.77,23.79
Tilapia,27.55,7.81,29.46,7.81,3.86,0.23,48.21
Goldfish,13.27,8.34,8.19,5.09,2.9,1.28,48.35
Salmon,10.22,6.55,8.79,11.17,,2.34,42.66
Catfish,21.73,6.87,,6.39,1.34,1.81,3.93
Salmon,9.65,7.25,8.13,8.15,27.97,2.18,37.77
Tilapia,24.33,6.83,41.81,,2.3,1.68,12.12
Eel,17.76,6.64,19.44,6.44,16.72,1.99,26.83
Trout,11.15,6.85,7.83,7.02,2.09,0.01,18.5
Trout,11.47,6.64,3.09,11.92,1.34,0.36,47.87
Clownfish,24.76,8.22,3.23,7.57,29.13,2.63,19.94
Bass,18.66,6.82,30.64,4.57,9.85,2.17,33.03
Tilapia,22.0,7.72,46.28,4.54,0.58,1.91,6.25
Eel,7.07,6.99,14.9,4.08,21.14,2.91,38.87
Bass,17.73,7.46,7.2,7.09,,0.56,36.52
Trout,,6.82,1.18,7.16,2.7,0.1,16.93
Clownfish,26.16,8.0,2.49,5.7,32.88,1.81,2.35
Bass,,7.32,26.25,6.4,0.97,1.44,41.96
Salmon,8.13,6.54,8.67,7.65,19.8,,8.95
Salmon,12.48,6.76,9.9,7.01,21.65,0.0,10.35
Clownfish,26.87,8.26,0.57,5.37,28.76,0.63,40.13
Goldfish,14.37,7.14,14.9,6.08,0.34,2.94,10.01
Clownfish,27.83,7.86,4.85,7.55,30.23,0.29,16.56
Tilapia,24.63,6.97,43.76,7.48,1.27,1.31,35.56
Bass,17.15,6.74,11.62,9.76,0.64,0.49,20.07
,20.9,,11.08,4.59,1.22,0.68,23.91
Goldfish,21.14,7.6,13.68,7.52,0.24,1.37,12.46
Bass,15.38,6.89,26.7,9.67,5.24,2.62,33.92
Bass,21.25,7.19,14.84,7.7,7.56,2.0,16.86
Tilapia,27.93,7.52,42.77,7.43,4.17,0.06,35.99
Eel,13.01,6.79,17.03,3.98,14.53,0.28,30.66
Clownfish,27.42,,0.58,7.06,31.62,,6.67
Catfish,21.8,6.03,41.26,5.15,2.79,2.38,22.16
Eel,14.2,,27.37,4.59,6.96,0.9,12.09
Tilapia,27.89,7.63,40.24,4.31,0.32,2.21,35.31
Trout,15.0,7.35,1.51,8.31,0.94,2.25,20.87
Goldfish,23.24,8.33,6.93,7.24,1.63,2.96,19.41
Tilapia,23.38,6.66,37.0,6.15,3.33,1.46,30.99
Tilapia,26.16,7.18,22.69,6.34,3.24,2.5,35.01
Eel,,7.8,11.98,4.69,10.58,1.0,38.77
Goldfish,22.03,7.18,16.45,7.54,2.64,1.11,21.6
Bass,,7.07,25.18,7.36,7.49,0.96,46.66
,20.12,7.35,11.15,7.67,14.77,1.18,6.59
Catfish,,7.06,80.71,5.09,2.19,1.47,14.92
Salmon,14.01,6.55,1.41,8.75,20.46,1.16,18.48
Trout,15.42,7.43,9.46,7.08,2.82,2.41,4.58
Trout,,7.24,9.0,8.04,3.57,1.37,36.77
Goldfish,20.36,8.22,9.56,5.39,1.54,1.74,4.52
Clownfish,26.38,8.12,3.05,5.02,30.33,0.48,4.26
Salmon,10.45,7.44,9.41,7.29,30.62,2.3,26.96
Bass,24.19,6.22,16.55,6.66,3.92,0.29,10.53
Goldfish,23.32,7.13,9.57,7.38,1.06,0.27,35.5
Salmon,9.45,,0.57,9.03,14.09,1.92,20.06
Clownfish,17.15789003907406,8.04,4.16,6.7,34.21,1.86,22.26
Catfish,26.29,6.79,54.76,3.47,1.26,0.21,43.02
Clownfish,24.12,7.8,0.57,5.09,31.07,1.35,37.1
Goldfish,20.48,7.85,19.21,,3.08,0.06,30.27
Salmon,14.16,6.75,1.0,11.65,29.83,2.91,31.97
Salmon,14.38,7.3,9.61,6.24,31.21,1.31,13.83
Trout,17.2,7.36,4.23,11.93,,2.53,1.26
Clownfish,24.02,7.89,4.22,11.513257470939047,28.21,0.54,26.44
Eel,8.73,6.13,20.36,5.74,14.05,2.4,39.72
Eel,20.73,7.7,28.93,6.04,26.66,2.82,6.99
Trout,13.33,6.65,0.04,11.58,0.67,2.17,30.36
Tilapia,27.32,7.2,,,1.79,1.53,45.72
Catfish,23.31,7.95,41.63,4.41,4.72,3.0,19.81
Clownfish,25.78,8.14,4.64,,32.22,2.94,15.54
Eel,23.0,6.05,,4.69,19.72,1.72,39.72
Trout,16.73,6.71,7.42,11.66,3.41,0.99,39.33
Tilapia,26.94,7.95,11.76,7.69,19.83888448120382,0.6,
Trout,11.62,7.14,4.29,8.3,2.89,0.51,10.99
Bass,17.19,7.47,33.91,8.28,2.05,2.09,14.62
Trout,16.65,7.38,4.75,11.32,3.65,2.1,18.17
Catfish,27.63,6.04,72.64,4.48,4.07,2.35,39.16
Catfish,,7.09,58.84,6.5,3.77,0.29,23.08
Bass,20.36,6.47,42.07,5.52,5.14,1.68,3.16
Bass,24.77,7.29,27.16,9.91,4.39,1.43,23.34
Tilapia,,7.53,16.48,5.77,0.63,0.48,44.71
,19.81,8.23,8.83,6.77,3.09,2.12,25.22
Tilapia,29.66,6.98,22.06,6.82,1.88,0.69,35.13
Bass,20.93,6.65,6.0,4.1,7.44,1.38,
Tilapia,28.31,6.63,38.04,7.43,1.24,1.44,0.01
Clownfish,26.16,8.26,1.31,5.84,28.41,1.59,5.47
Salmon,13.51,7.12,4.66,7.53,16.85,,10.24
Clownfish,27.26,8.2,3.9,7.8,28.57,1.65,37.65
Tilapia,,7.77,29.77,5.48,1.35,0.3,26.07
