Fish Type,Temperature (°C),Turbidity (NTU),pH Level,Ammonia (mg/L),Nitrates (mg/L),Dissolved Oxygen (mg/L)
Trout,8.75,2.57,7.69,0.142,17.24,9.49
Salmon,9.0,0.22,7.24,0.183,21.52,10.89
Bass,22.8,3.61,8.13,0.211,32.54,5.14
Bass,15.83,1.53,7.29,0.236,35.6,7.61
Salmon,11.66,0.3,6.91,0.075,22.47,6.51
Salmon,11.84,1.58,7.84,0.109,8.56,6.8
Bass,22.95,1.24,8.11,0.093,23.83,7.57
Salmon,5.4,1.14,6.66,0.182,5.15,
Catfish,20.49,6.21,6.45,0.126,56.69,3.83
Trout,11.86,0.44,7.65,0.034,16.68,10.53
Goldfish,19.94,2.55,6.97,0.329,27.56,5.9
Catfish,,3.34,7.58,0.925,41.41,5.95
Catfish,24.82,7.47,6.94,0.952,57.97,3.77
Salmon,8.6,1.03,7.02,0.124,7.83,11.84
Salmon,9.58,1.1,7.37,0.005,,7.99
Tilapia,26.91,2.46,7.91,0.236,32.27,7.73
Goldfish,14.81,2.04,7.25,0.426,36.04,8.1
Trout,16.04,1.14,7.57,0.027,4.56,8.16
Trout,4.74,1.94,6.93,0.156,5.28,10.0
Goldfish,12.97,3.44,7.28,0.063,3.08,5.24
Trout,6.73,0.59,7.4,0.051,15.25,11.75
Bass,24.24,2.94,8.1,0.022,11.13,5.29
Trout,6.48,2.28,6.55,0.015,10.72,7.08
Salmon,7.98,0.86,7.84,0.05,10.85,8.57
Goldfish,14.85,1.77,7.68,0.064,23.26,8.29
Trout,9.73,1.72,7.52,0.095,0.7,10.07
Goldfish,21.97,1.11,7.38,0.373,28.69,8.02
Tilapia,22.2,1.04,7.23,0.475,3.5,7.92
Salmon,11.95,0.31,7.67,0.125,7.15,8.23
Catfish,25.52,9.57,6.07,0.39,10.5,5.48
Catfish,22.43,9.27,6.22,0.63,15.36,4.36
Salmon,11.14,1.8,7.46,0.029,5.45,10.3
Catfish,20.78,5.27,6.65,0.987,39.91,5.76
Tilapia,29.42,1.23,7.11,0.193,12.34,7.5
Tilapia,25.7,1.21,6.71,0.286,7.02,4.88
Tilapia,26.75,4.66,8.25,0.131,26.98,7.58
Trout,9.01,2.43,6.82,0.142,18.91,9.28
Bass,21.97,2.89,7.05,0.069,19.82,8.06
Bass,15.04,2.12,6.7,0.266,32.28,6.5
Tilapia,25.15,4.24,7.53,0.465,10.02,7.38
Goldfish,22.38,3.58,7.03,0.31,13.16,5.34
Bass,23.09,4.14,6.52,0.238,46.2,7.97
Trout,5.09,,7.12,0.07,18.4,7.78
Goldfish,23.25,3.55,,0.049,10.8,5.69
Bass,23.11,2.7,6.97,0.006,8.42,7.57
Salmon,5.29,1.53,7.1,0.029,2.8,11.96
Tilapia,23.09,1.19,8.02,0.176,17.46,7.18
Salmon,7.23,0.12,7.76,0.017,4.3,9.94
Goldfish,17.08,2.64,7.75,0.399,10.96,7.84
Tilapia,29.81,1.73,7.34,0.299,24.98,6.91
Tilapia,27.94,2.24,6.59,0.328,25.16,4.56
Goldfish,16.3,3.32,7.92,0.13,17.82,8.75
Catfish,26.96,8.57,7.37,0.022,36.45,5.88
Bass,21.18,1.13,7.19,0.206,47.9,5.59
Bass,23.27,4.1,6.42,0.025,10.15,7.87
Goldfish,14.65,,7.98,0.264,18.8,6.52
Tilapia,29.13,2.61,7.3,0.33,24.4,4.6
Bass,19.14,5.82,,0.019,33.33,7.8
Goldfish,10.37,1.42,7.92,0.235,22.19,5.75
Salmon,15.47,0.14,7.18,0.074,4.84,9.55
Bass,17.0,2.29,7.29,0.117,24.75,4.89
Catfish,27.78,5.63,7.01,0.821,27.65,5.24
Bass,21.21,2.98,7.08,0.21,29.93,5.2
Goldfish,,3.72,7.46,0.462,5.98,6.12
Salmon,10.8,0.98,7.67,0.186,12.71,7.11
Salmon,12.28,1.82,7.44,0.014,28.48,6.14
Goldfish,10.6,2.91,7.63,0.095,17.64,7.98
Tilapia,26.06,4.36,8.37,0.031,7.31,4.8
Goldfish,15.67,2.81,7.0,0.132,,5.99
Tilapia,,3.94,7.86,0.064,40.93,4.62
Tilapia,28.73,4.43,7.18,0.498,0.64,7.99
Trout,16.28,0.03,6.71,0.109,5.43,9.42
Trout,16.02,1.62,7.41,0.166,9.88,10.18
Salmon,13.84,0.61,6.93,0.106,3.21,9.62
Trout,11.29,1.49,7.82,0.042,13.2,9.58
Salmon,4.82,1.13,7.14,0.081,20.39,11.18
Goldfish,19.2,1.67,7.52,0.101,3.41,6.89
Catfish,26.18,6.42,6.96,0.436,24.27,5.4
Tilapia,22.8,1.74,7.1,0.316,,
Catfish,24.61,2.17,7.47,0.182,42.6,6.74
Salmon,5.07,0.58,7.68,0.116,29.64,11.65
Catfish,21.53,,7.23,0.47,49.99,5.7
Goldfish,18.49,1.43,7.83,0.296,29.62,6.21
Catfish,24.66,5.91,6.14,0.691,23.48,5.83
Trout,9.16,0.39,7.99,0.106,18.64,9.81
Salmon,13.38,0.28,7.98,0.023,7.23,6.46
Catfish,24.54,4.66,6.62,0.829,15.05,4.49
Bass,22.58,4.79,6.1,0.13,17.64,6.89
Goldfish,18.4,2.39,7.98,0.203,37.91,5.69
Catfish,23.02,6.98,7.71,0.973,39.01,5.07
Catfish,22.22,6.97,7.76,0.289,48.33,3.64
Bass,18.02,2.3,6.01,0.111,24.47,7.67
Salmon,6.6,1.76,7.35,0.129,21.92,8.1
Bass,26.26,2.14,7.05,0.264,14.74,8.62
Goldfish,14.82,4.0,7.66,0.176,38.78,5.21
Salmon,12.83,0.92,7.25,0.174,6.68,6.74
Goldfish,22.05,1.22,7.38,0.427,13.04,7.9
Trout,15.74,0.63,6.58,0.165,7.67,10.78
Salmon,9.4,0.6,8.0,0.046,7.29,11.2
Bass,20.11,5.54,6.4,0.052,24.29,5.49
Bass,22.44,2.97,7.53,0.274,47.12,6.09
Trout,11.79,0.63,7.35,0.025,4.03,10.08
Catfish,24.92,5.59,6.23,0.306,18.16,3.79
Bass,17.95,4.99,6.4,0.207,31.41,4.16
Goldfish,21.2,3.73,6.88,0.069,,7.64
Catfish,22.86,7.74,7.21,0.319,14.77,4.3
Goldfish,17.46,1.07,7.08,0.218,1.88,5.62
Trout,5.11,2.43,7.8,0.132,17.14,11.63
Trout,17.71,0.81,7.23,0.094,19.99,7.6
Bass,23.84,2.4,8.29,0.164,48.97,8.05
Goldfish,12.71,3.14,7.88,0.198,13.69,7.67
Tilapia,28.25,2.37,8.29,0.063,1.48,7.49
Goldfish,10.51,1.01,6.52,0.108,8.6,7.09
Trout,9.28,1.87,7.12,0.188,6.44,9.62
Trout,4.36,2.01,7.13,0.108,6.81,10.97
Tilapia,29.01,3.18,6.72,0.449,18.59,4.67
Goldfish,12.42,1.82,7.45,0.248,,7.53
Bass,26.4,2.5,6.4,0.09,39.24,8.27
Goldfish,20.98,3.36,7.0,0.298,39.49,8.0
Bass,21.25,5.88,,0.061,30.35,6.23
Salmon,9.35,0.99,6.65,0.041,21.72,7.6
Salmon,13.5,0.75,7.1,0.06,26.6,6.37
Tilapia,28.28,4.18,6.64,0.338,22.22,6.58
Goldfish,11.09,2.42,6.53,0.343,31.89,8.86
Bass,19.15,2.08,7.35,0.008,5.91,8.86
Tilapia,24.0,4.82,,0.306,,4.56
Salmon,8.54,0.42,6.62,0.113,3.01,11.19
Catfish,22.07,9.49,7.73,0.083,51.41,6.58
Trout,6.41,1.11,6.88,0.06,12.78,8.08
Bass,22.63,2.55,6.83,0.241,14.54,7.83
Bass,20.07,4.44,6.63,0.202,14.54,4.88
Goldfish,16.28,2.04,7.28,0.198,25.31,6.89
Catfish,23.72,4.84,7.21,0.325,46.63,4.02
Trout,11.33,1.78,7.86,0.089,4.93,8.61
Tilapia,22.66,3.73,6.97,0.161,44.78,4.1
Bass,17.76,1.73,6.76,0.11,25.07,5.43
Tilapia,24.7,4.11,6.95,0.147,33.48,
Trout,6.3,0.53,7.63,0.089,10.95,10.4
Bass,26.58,5.62,7.48,0.25,30.15,7.33
Salmon,8.95,1.12,7.67,0.138,15.77,11.07
Salmon,6.6,0.27,7.47,0.063,10.22,9.31
Catfish,24.2,6.91,6.73,0.147,52.02,5.33
Bass,19.9,5.98,6.97,0.239,39.42,7.68
Trout,11.15,1.87,6.99,0.091,5.47,8.11
Tilapia,26.87,1.97,7.19,0.312,31.69,5.64
Bass,18.35,5.65,6.47,0.134,36.15,
Bass,20.2,3.91,6.01,0.107,7.5,4.56
Tilapia,29.93,1.16,7.21,0.438,19.5,7.14
Trout,7.75,2.67,6.99,0.014,11.18,8.38
Salmon,4.21,1.7,7.66,0.007,2.84,8.97
Catfish,24.51,9.2,7.17,0.267,28.82,5.15
Goldfish,10.78,1.28,7.68,0.359,28.16,6.57
Tilapia,23.89,3.56,7.93,0.314,21.53,6.09
Salmon,9.95,0.09,6.92,,2.54,6.39
Tilapia,28.66,3.29,6.62,0.465,37.4,4.38
Goldfish,13.55,1.53,7.02,0.423,35.98,5.23
Goldfish,20.93,3.93,7.52,0.315,30.32,6.67
Catfish,26.21,9.92,6.75,0.125,15.1,3.03
Tilapia,28.85,4.68,8.15,0.315,2.2,7.23
Tilapia,25.63,1.77,6.6,0.24,24.5,5.72
Tilapia,27.9,1.23,6.87,0.035,47.67,5.68
Salmon,9.03,1.08,7.17,0.112,27.01,6.83
Goldfish,13.12,3.7,6.66,0.256,13.36,7.55
Trout,14.33,2.8,7.32,0.161,3.01,10.77
Tilapia,26.55,2.31,8.03,0.474,46.1,5.22
Trout,17.14,1.01,7.52,0.038,,11.27
Catfish,21.63,6.33,6.37,0.124,34.8,4.59
Salmon,6.31,0.11,6.81,0.025,10.01,9.1
Trout,16.7,2.88,6.87,0.169,19.09,9.79
Trout,4.53,1.0,7.86,0.116,4.18,7.37
Bass,16.97,5.72,6.65,0.185,14.28,5.41
Bass,15.78,3.39,7.93,0.088,22.39,5.61
Catfish,27.45,4.43,6.29,0.841,17.12,3.11
Bass,22.82,,6.24,0.294,46.33,4.38
Bass,15.43,2.92,6.17,0.123,43.93,4.26
Tilapia,23.37,3.93,7.85,0.288,13.09,7.5
Tilapia,25.64,2.86,7.68,0.277,17.05,6.47
Bass,17.69,2.45,7.2,0.172,22.67,6.55
Salmon,11.65,0.86,6.52,0.104,0.82,11.38
Bass,18.36,3.99,8.22,0.027,10.5,7.45
Trout,,0.75,7.58,0.004,15.8,7.07
Tilapia,23.17,2.46,6.75,0.39,28.97,4.9
Goldfish,16.59,2.57,6.98,0.039,15.88,7.0
Tilapia,22.77,4.1,6.84,0.444,42.82,5.51
Salmon,13.95,0.63,7.78,0.181,27.63,9.12
Catfish,20.72,5.69,6.43,0.919,36.42,3.74
Tilapia,23.33,3.45,7.68,0.017,43.25,6.24
Bass,21.43,4.67,6.93,0.27,6.44,5.05
Trout,8.57,0.19,8.0,0.085,7.27,7.44
Salmon,6.55,1.67,7.26,0.147,26.45,11.7
Tilapia,24.42,1.78,8.26,0.117,23.25,6.41
Bass,18.57,2.71,7.38,0.232,43.11,8.63
Goldfish,23.87,1.4,7.09,0.298,35.71,7.5
Trout,17.91,2.34,7.84,0.095,0.17,10.4
Trout,14.3,0.78,6.51,0.168,,9.62
Bass,23.38,1.78,6.47,0.241,15.77,5.3
Trout,7.1,2.0,7.59,0.067,16.55,10.07
Trout,16.51,1.75,7.03,0.042,8.18,8.45
Bass,,4.42,8.1,0.05,21.88,5.95
Goldfish,12.03,2.09,7.11,0.026,31.51,7.86
Salmon,11.33,1.64,7.71,0.066,28.0,8.73
Goldfish,,3.33,6.58,0.482,36.22,8.5
Salmon,6.43,0.02,7.13,0.162,4.63,11.68
Trout,12.52,1.51,6.67,0.168,7.14,11.78
Catfish,25.63,2.0,6.29,0.424,51.35,4.0
Bass,23.68,5.07,7.71,0.103,28.66,4.28
Salmon,5.94,0.09,7.02,0.176,11.68,8.18
Salmon,13.28,,7.46,0.156,8.37,
Tilapia,26.91,2.51,8.38,0.319,38.81,
Salmon,6.34,1.86,6.62,0.164,2.17,9.93
Trout,13.47,0.42,6.67,0.086,17.7,9.52
Bass,25.45,3.37,6.21,0.032,12.48,4.45
Salmon,8.08,0.69,6.9,0.152,5.99,11.73
Trout,4.72,2.87,7.55,0.091,1.66,9.46
Tilapia,23.96,1.95,7.0,0.257,27.13,7.0
Bass,23.99,2.81,7.67,0.051,14.42,4.08
Tilapia,26.05,4.43,6.82,0.204,13.63,4.58
Catfish,20.94,3.1,7.66,0.053,43.89,4.69
Salmon,4.75,0.38,6.78,0.192,2.6,6.32
Salmon,12.67,1.4,7.86,0.054,10.41,7.54
Salmon,8.89,0.88,6.78,0.172,16.55,9.85
Catfish,21.82,4.7,7.49,0.91,45.52,3.56
Tilapia,25.31,2.05,8.18,0.086,22.77,5.26
Goldfish,14.02,1.32,6.67,0.312,3.83,5.44
Goldfish,11.28,2.11,7.24,0.418,13.71,7.76
Salmon,11.37,1.41,7.41,0.123,29.18,8.38
Trout,8.58,2.54,7.38,0.106,18.87,8.58
Goldfish,23.76,1.91,6.94,0.354,14.07,7.42
Bass,25.97,2.44,7.17,0.266,36.27,5.27
Goldfish,14.84,3.97,7.41,0.037,,7.52
Salmon,4.52,,6.52,0.065,29.96,8.26
Salmon,12.67,0.51,7.61,0.169,5.64,11.51
Salmon,15.49,0.35,7.24,0.174,2.89,8.99
Goldfish,21.1,3.17,6.99,0.235,21.4,5.78
Trout,5.46,2.57,6.65,0.143,19.82,7.13
Bass,21.04,3.78,7.88,0.284,35.41,7.11
Catfish,27.02,3.15,7.6,0.372,38.69,5.54
Catfish,25.25,5.85,6.39,0.957,28.1,4.88
Salmon,8.38,1.54,7.78,0.078,12.15,9.48
Tilapia,27.48,,7.48,0.239,37.43,5.7
Trout,16.06,1.41,7.64,0.061,17.97,9.0
Trout,13.04,2.76,7.33,0.142,12.29,7.67
Trout,5.26,2.12,6.86,0.18,6.14,10.5
Trout,9.1,0.44,7.42,0.074,,11.54
Bass,17.85,1.45,7.69,0.277,10.45,8.87
Trout,13.41,0.67,7.09,0.024,0.77,9.98
Bass,20.88,1.11,6.78,0.22,6.23,4.94
Catfish,27.48,7.66,6.37,0.708,27.26,
Catfish,24.22,,7.28,0.234,11.46,5.49
Bass,20.98,3.68,6.83,0.022,22.54,7.07
Goldfish,20.32,2.0,7.84,0.034,10.79,6.73
Salmon,9.76,1.33,7.46,0.15,17.64,11.92
Salmon,7.67,1.02,7.6,0.158,24.78,11.21
Goldfish,23.62,1.0,7.53,0.081,21.2,8.8
Catfish,24.15,4.66,7.31,0.217,45.21,4.13
Bass,,2.72,8.31,0.258,31.2,
Catfish,23.68,6.63,7.08,0.824,,4.99
Catfish,22.53,9.99,7.4,0.261,32.01,5.72
Trout,12.02,1.32,6.98,0.004,6.97,7.16
Bass,15.27,3.93,6.99,0.226,11.36,7.89
Goldfish,17.37,1.58,7.45,0.192,33.71,8.89
Trout,10.03,0.92,6.77,0.158,0.62,8.46
Salmon,12.12,1.49,7.72,0.055,27.07,10.54
Bass,18.22,3.08,6.65,0.048,40.57,6.72
Salmon,10.57,0.3,7.27,0.173,16.66,8.7
Salmon,11.14,0.85,7.92,0.13,6.52,9.78
Salmon,13.95,0.59,7.46,0.097,17.37,11.48
Tilapia,22.13,1.18,,0.251,4.07,6.91
Bass,16.79,3.46,7.18,0.162,40.32,4.17
Trout,9.98,2.62,,0.015,3.16,9.01
Goldfish,22.62,1.12,7.57,0.379,5.19,8.48
Trout,6.35,1.56,7.41,0.093,6.86,11.42
Tilapia,29.68,1.82,6.88,0.088,49.53,5.93
Tilapia,22.66,4.85,6.86,0.354,33.34,4.0
Trout,4.81,0.67,7.3,0.039,9.52,10.88
Trout,17.38,1.87,7.3,0.032,13.07,7.74
Goldfish,22.7,3.88,7.31,0.055,2.81,7.29
Trout,15.64,1.73,7.41,0.173,18.91,11.12
Tilapia,26.37,3.02,8.29,0.322,42.54,7.9
Bass,25.41,2.09,6.48,0.233,18.51,5.56
Goldfish,21.25,2.06,7.96,0.328,37.38,8.15
Trout,15.99,1.28,6.61,0.184,,8.51
Goldfish,19.5,2.29,7.91,0.114,19.13,7.66
Goldfish,17.99,2.27,7.89,0.201,8.51,8.44
Bass,24.78,4.34,6.02,0.057,40.48,5.61
Bass,26.0,5.47,7.36,0.116,21.51,7.6
Tilapia,27.47,2.74,7.17,0.211,14.29,7.99
Catfish,26.9,6.38,7.98,0.486,16.42,6.86
Salmon,6.15,1.87,7.69,0.106,28.29,11.18
Salmon,8.78,0.08,6.56,0.2,5.98,6.1
Catfish,21.61,2.85,6.67,0.868,36.18,6.36
Goldfish,14.21,2.26,6.54,0.375,9.98,5.3
Trout,8.05,0.68,7.85,0.02,18.55,10.66
Trout,10.82,0.14,7.04,0.021,8.45,11.58
Bass,17.58,1.9,6.27,0.282,41.38,4.14
Bass,15.49,4.42,7.04,0.1,47.34,7.98
Catfish,21.03,2.62,6.92,0.87,51.11,5.75
Salmon,9.75,0.08,7.48,0.013,3.94,10.83
Salmon,13.82,1.94,7.6,0.079,,10.34
Goldfish,23.51,2.09,,0.418,33.28,8.28
Catfish,20.55,10.0,7.52,0.117,32.42,3.83
Tilapia,,1.3,7.54,0.372,9.18,7.81
Bass,25.97,2.96,7.02,0.288,9.56,4.08
Goldfish,12.9,1.89,7.94,0.447,21.55,5.92
Goldfish,16.35,2.73,7.16,0.063,35.31,5.35
Goldfish,10.54,1.12,7.07,0.056,15.54,7.57
Salmon,12.44,0.27,7.42,0.018,0.77,7.85
Trout,13.83,2.89,6.65,0.097,6.93,11.37
Salmon,6.43,0.47,7.03,0.137,27.19,7.99
Trout,9.38,,7.73,0.138,17.74,10.16
Salmon,13.38,1.61,6.6,0.094,14.16,11.62
Goldfish,12.1,1.27,6.73,0.276,12.32,5.53
Goldfish,14.97,1.55,7.83,0.157,9.33,
Tilapia,26.26,2.8,8.23,0.484,5.23,7.29
Catfish,25.58,5.09,6.66,0.586,38.48,6.96
Catfish,25.72,5.39,6.65,0.27,46.34,3.17
Goldfish,15.07,2.61,7.83,0.003,19.7,5.66
Goldfish,19.5,1.55,7.02,0.18,2.68,8.96
Salmon,15.72,0.86,7.3,0.165,7.57,11.32
Goldfish,17.98,1.42,7.72,0.046,31.53,5.15
Tilapia,25.0,2.71,7.01,0.057,34.58,5.2
Bass,23.76,1.54,7.08,0.093,20.66,5.58
Trout,17.86,2.43,7.75,0.189,14.97,7.69
Tilapia,28.41,4.5,6.89,0.151,19.26,5.17
Tilapia,23.47,1.25,8.04,0.095,14.97,7.13
Bass,16.08,2.27,,0.084,24.41,5.97
Trout,9.38,0.5,6.58,0.086,1.83,11.08
Bass,21.05,5.75,7.83,0.269,26.69,8.73
Tilapia,27.07,2.86,8.17,0.062,22.41,7.84
Salmon,9.01,1.66,7.42,,26.85,9.93
Trout,14.06,1.01,7.87,0.121,18.45,8.94
Trout,14.28,0.12,7.75,0.195,18.89,7.87
Tilapia,22.89,4.35,7.37,0.244,3.68,6.0
Tilapia,29.19,2.28,7.98,0.092,9.91,7.53
Bass,15.98,3.19,7.56,0.122,37.82,8.82
Tilapia,29.39,3.54,6.62,0.304,,7.58
Tilapia,25.82,3.63,7.73,0.057,41.77,5.8
Bass,16.9,5.43,7.16,0.177,7.52,
Salmon,6.57,1.73,6.79,0.072,2.85,9.86
Trout,11.22,1.85,7.68,0.166,5.76,7.49
Goldfish,14.86,2.17,7.86,0.321,21.26,7.24
Salmon,9.29,1.7,6.74,0.113,16.08,10.14
Catfish,26.73,2.86,6.14,0.662,45.51,5.48
Salmon,14.92,0.77,6.56,0.175,6.04,7.05
Tilapia,26.49,2.01,6.76,0.451,12.29,7.78
Trout,4.63,1.47,7.54,0.0,19.65,8.8
Goldfish,20.55,3.42,6.59,0.067,0.96,8.69
Tilapia,26.05,3.68,7.36,0.008,25.09,5.14
Salmon,14.09,0.84,7.21,0.061,24.11,6.14
Bass,24.93,3.5,7.82,0.276,49.26,6.61
Bass,22.62,5.87,6.65,0.271,30.23,8.0
Tilapia,27.67,4.65,6.87,0.46,49.0,7.75
Salmon,8.44,1.08,6.8,0.035,14.34,7.73
Salmon,5.21,0.6,6.55,0.002,5.19,11.1
Bass,15.01,5.05,8.43,0.203,38.41,5.45
Salmon,5.67,1.13,7.97,0.068,21.15,7.06
Catfish,20.26,2.51,7.22,0.009,13.67,6.79
Salmon,5.27,0.54,7.38,0.198,8.31,9.87
Bass,19.84,3.69,8.23,0.185,16.77,5.54
Bass,18.9,1.52,7.43,0.138,11.6,8.25
Goldfish,11.96,2.5,6.99,0.164,6.16,5.63
Trout,11.68,0.43,7.87,0.199,9.64,9.61
Salmon,10.58,0.52,6.88,0.002,12.85,
Salmon,8.7,1.5,7.98,0.161,17.69,9.16
Tilapia,22.13,1.68,7.17,0.276,8.2,6.09
Trout,13.41,0.35,7.69,0.052,13.3,11.4
Trout,11.38,2.47,7.46,0.185,9.58,11.54
Tilapia,27.43,1.95,7.95,0.355,36.46,7.13
Trout,10.3,1.39,7.81,0.136,0.51,7.71
Trout,14.33,2.95,6.95,0.101,7.51,10.41
Salmon,9.67,1.49,7.85,0.076,11.16,6.84
Bass,21.9,2.4,6.53,0.01,8.35,4.52
Goldfish,14.16,3.75,6.74,0.383,6.72,6.39
Bass,26.44,2.42,6.45,0.173,47.52,6.19
Bass,24.77,2.21,6.05,0.001,33.39,7.79
Goldfish,16.99,1.05,7.71,0.358,15.43,7.63
Salmon,13.38,0.59,7.54,0.033,7.51,11.16
Tilapia,25.62,2.1,7.27,0.108,1.28,5.58
Goldfish,22.67,3.61,7.03,0.123,18.75,6.95
Salmon,9.68,0.59,6.83,0.063,18.43,8.62
Goldfish,18.69,3.79,7.22,0.072,24.0,5.49
Tilapia,27.88,,7.8,0.296,18.58,4.6
Trout,4.75,1.5,7.42,0.197,6.71,
Trout,9.15,0.24,7.35,0.076,17.07,10.41
Catfish,25.44,6.2,7.45,0.863,25.94,5.27
Salmon,13.42,0.81,6.63,0.011,24.96,10.88
Catfish,26.35,4.22,7.37,0.457,34.9,6.85
Goldfish,23.14,1.53,7.82,0.171,18.35,7.29
Bass,16.68,5.35,7.84,0.032,25.67,8.61
Tilapia,27.96,2.12,6.82,0.315,14.04,6.17
Trout,15.1,1.55,7.74,0.084,4.54,7.54
Trout,11.05,2.39,7.13,0.13,18.16,11.36
Salmon,6.13,1.95,6.93,0.009,25.14,9.53
Catfish,22.29,5.09,7.84,0.026,46.3,4.98
Tilapia,24.64,4.09,7.67,0.1,44.16,6.63
Goldfish,17.85,2.9,7.48,0.346,38.64,8.24
Salmon,6.63,0.9,6.89,0.157,15.06,6.6
Bass,15.57,4.49,6.54,0.16,16.81,7.33
Goldfish,16.13,3.55,7.23,0.038,27.17,5.09
Trout,4.79,2.84,7.38,0.023,3.61,8.72
Salmon,5.86,1.7,7.2,0.065,22.19,6.02
Goldfish,15.31,2.21,6.88,0.452,27.69,8.46
Bass,24.29,1.67,6.45,0.102,27.45,6.35
Catfish,27.07,2.05,7.17,0.566,40.33,3.89
Trout,,2.79,6.74,0.116,1.26,10.27
Catfish,23.75,5.04,6.28,0.257,34.46,5.44
Tilapia,23.94,3.94,8.46,0.214,32.01,6.21
Salmon,14.1,0.04,7.42,0.199,4.05,11.24
Salmon,12.13,,7.88,0.198,20.76,7.4
Trout,9.5,1.7,6.53,0.158,8.53,10.53
Bass,15.0,2.21,7.66,0.281,11.88,7.23
Tilapia,28.52,4.15,7.97,0.097,44.67,7.84
Goldfish,21.22,1.63,6.54,,14.85,5.68
Bass,26.9,3.03,7.52,0.103,24.88,5.96
Tilapia,22.18,4.92,7.89,0.196,19.47,5.6
Trout,6.78,2.74,7.76,0.061,9.59,11.08
Salmon,8.39,0.19,7.94,0.129,0.09,10.37
Trout,12.72,0.15,6.65,0.007,12.51,8.11
Salmon,15.25,1.56,7.75,0.132,17.52,7.87
Catfish,21.63,6.89,,0.288,54.88,3.19
Tilapia,22.44,3.31,8.49,0.185,31.31,5.53
Trout,8.28,2.19,6.81,0.067,3.26,8.96
Trout,10.69,0.37,7.87,0.0,3.65,7.26
Trout,6.82,0.52,7.57,0.07,9.52,7.85
Bass,17.06,3.17,7.27,0.271,48.89,4.19
Tilapia,23.73,4.32,7.98,0.233,21.09,6.05
Bass,19.67,1.41,6.18,0.157,45.95,5.65
Catfish,27.37,5.19,7.89,0.217,25.63,4.88
Catfish,21.45,8.4,6.08,0.824,19.76,6.92
Salmon,6.67,0.3,6.99,0.197,,7.47
Bass,20.82,3.3,6.99,0.183,35.97,4.67
Goldfish,20.75,3.63,6.52,0.198,10.05,8.55
Salmon,9.88,0.64,6.66,0.106,22.91,9.14
Trout,17.43,1.27,7.6,0.082,8.4,8.91
Trout,14.77,2.09,6.83,0.006,8.93,10.39
Catfish,23.43,3.55,7.19,0.873,20.48,5.14
Catfish,21.75,3.72,6.3,0.209,19.69,5.05
Catfish,23.69,7.98,7.69,0.388,28.94,5.89
Trout,6.99,1.15,7.13,0.075,2.65,10.06
Salmon,14.79,0.5,6.96,0.011,16.58,7.13
Trout,17.39,1.29,7.93,0.018,6.65,8.06
Goldfish,16.81,3.68,7.27,,0.93,6.72
Catfish,27.21,7.92,6.79,0.143,42.68,5.26
Tilapia,26.67,2.47,7.89,0.418,5.94,6.85
Goldfish,21.97,3.77,,0.227,10.17,5.93
Bass,22.16,5.64,8.02,0.1,14.58,8.97
Salmon,6.67,1.57,6.6,0.026,25.4,10.81
Goldfish,14.78,2.51,6.88,0.113,10.0,5.69
Salmon,13.64,1.06,7.55,0.127,12.14,11.91
Catfish,27.21,7.65,7.04,0.087,55.34,3.12
Tilapia,24.64,2.78,7.78,0.023,27.44,6.24
Goldfish,10.49,3.69,7.52,0.07,10.54,7.8
Trout,13.15,0.91,7.46,,15.97,7.16
Trout,15.35,2.82,7.85,0.036,5.25,11.38
Trout,17.33,3.0,6.81,0.16,16.31,7.51
Goldfish,14.99,1.36,7.55,0.382,10.23,5.05
Goldfish,19.94,2.89,7.9,0.253,35.16,5.56
Trout,11.39,1.32,7.68,0.013,17.43,8.56
Bass,23.95,3.62,8.28,0.097,11.16,8.03
Trout,15.03,2.67,7.35,0.137,9.01,
Goldfish,23.26,2.14,6.77,0.375,37.12,7.09
Trout,14.59,0.86,6.99,0.19,3.75,7.39
Salmon,8.81,1.54,6.86,0.134,5.1,9.29
Salmon,6.59,1.37,7.84,0.02,4.69,6.51
Goldfish,22.92,2.72,7.32,0.09,3.42,6.76
Bass,25.25,4.44,,0.199,32.48,8.92
Salmon,10.75,1.26,6.8,0.111,14.72,10.63
Trout,14.57,0.23,7.46,0.025,3.09,7.04
Catfish,25.73,5.71,7.27,0.061,11.61,5.74
Goldfish,16.45,2.66,7.14,0.08,30.28,5.81
Tilapia,28.24,3.47,8.07,0.367,33.19,5.27
Tilapia,24.01,1.19,7.73,0.098,13.77,4.58
Goldfish,15.42,1.73,7.83,0.234,23.12,8.03
Tilapia,25.74,2.75,7.48,0.224,,7.39
Goldfish,22.32,2.44,7.3,0.483,5.31,7.51
Tilapia,22.96,3.67,8.33,0.23,22.47,5.83
Tilapia,28.93,3.0,7.63,0.057,21.93,7.63
Catfish,26.22,8.72,6.83,0.698,,4.16
Goldfish,17.3,1.93,6.94,0.018,30.84,7.39
Trout,9.5,2.07,6.51,0.01,5.06,10.39
Catfish,25.17,9.55,6.03,0.542,41.48,5.48
Salmon,10.68,0.73,7.72,0.137,3.19,9.6
Salmon,13.94,1.16,6.99,0.165,0.22,9.0
Goldfish,14.26,2.33,7.59,0.188,12.35,7.25
Goldfish,21.93,2.37,7.12,0.181,26.65,6.27
Trout,15.84,1.39,7.15,0.162,16.31,7.53
Salmon,11.88,0.08,7.3,0.027,12.76,9.19
