Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Goldfish,14.95,7.99,13.74,6.58
Goldfish,22.47,8.14,12.77,
Bass,22.51,7.0,7.53,8.08
Goldfish,18.15,7.55,7.39,6.58
Salmon,9.66,6.96,2.47,11.45
Bass,23.2,6.28,6.56,6.8
,13.25,7.98,9.98,7.11
,24.81,6.41,10.17,4.72
Bass,20.31,7.13,47.32,4.06
Tilapia,27.11,7.32,,6.71
Goldfish,18.18,7.12,19.04,5.81
Tilapia,23.64,7.44,13.2,5.57
Tilapia,23.71,7.59,42.61,5.7
Trout,14.83,7.22,4.12,9.53
Trout,11.68,6.89,2.55,8.24
Salmon,13.98,6.81,0.3,8.51
Goldfish,15.13,8.26,15.83,7.67
Catfish,26.81,6.64,,3.15
Bass,18.56,7.44,16.46,8.81
Salmon,9.95,7.0,4.81,11.81
Catfish,20.6,7.63,83.99,4.97
Salmon,10.04,7.5,4.76,7.61
Eel,11.39,7.62,15.33,4.68
Goldfish,11.06,7.04,19.27,7.24
Tilapia,24.75,6.84,31.34,4.42
Salmon,12.04,7.39,4.95,11.15
,22.55,7.59,17.08,4.59
Bass,17.25,6.22,18.3,8.38
Salmon,,6.95,7.91,8.85
Eel,12.23,6.99,15.45,6.08
Goldfish,13.15,8.08,19.32,5.21
Salmon,8.62,6.94,6.2,9.15
Catfish,23.96,,10.0,3.02
Goldfish,12.74,7.27,10.09,5.56
Salmon,12.91,7.2,8.63,11.68
Trout,11.81,7.35,3.69,10.59
Tilapia,22.81,6.99,26.69,7.9
Goldfish,12.33,7.26,,5.03
Tilapia,24.95,7.72,41.35,4.38
Eel,12.75,6.2,18.87,7.14
Tilapia,26.39,7.61,12.62,4.14
Trout,13.15,6.8,3.72,11.31
Trout,14.22,7.25,6.24,10.84
Clownfish,25.38,8.31,0.47,7.63
Eel,18.76,7.83,17.91,3.47
Catfish,,6.78,63.51,5.2
,24.19,7.95,2.66,5.37
Bass,16.29,6.58,19.41,6.14
Goldfish,10.27,7.42,10.73,7.08
Bass,20.07,7.34,40.36,6.76
Catfish,25.9,7.62,37.83,3.06
Salmon,11.62,6.73,2.67,10.18
Bass,19.38,,13.73,5.4
Bass,17.83,6.76,17.07,7.79
Eel,13.09,7.67,17.73,6.72
Bass,17.01,6.54,32.9,
Tilapia,25.38,7.96,13.65,6.8
Bass,16.28,6.2,31.63,9.61
Eel,15.66,6.63,14.91,6.81
Goldfish,18.09,8.3,16.56,5.86
,24.76,6.97,27.56,8.11
Catfish,21.44,7.45,41.19,5.38
Tilapia,29.81,7.63,15.98,4.67
Salmon,8.05,6.54,3.39,6.81
Catfish,22.23,6.18,20.64,4.56
Bass,21.24,6.42,48.03,4.54
Bass,16.7,6.78,33.73,4.38
Eel,,,23.13,7.88
Trout,16.78,6.96,7.71,11.37
Trout,15.42,6.98,3.78,10.52
Bass,20.42,6.14,49.02,4.76
Goldfish,,8.42,10.83,6.66
Goldfish,12.68,7.44,17.16,
Bass,19.9,,6.8,8.85
,23.48,7.66,17.81,5.85
Clownfish,26.08,8.08,0.02,5.62
,16.61,6.85,31.77,6.48
Goldfish,19.74,8.2,16.9,7.46
,17.48,6.13,33.28,5.27
Bass,22.82,7.49,47.48,5.77
Tilapia,22.81,7.61,22.7,
Clownfish,24.19,8.3,1.14,5.64
Clownfish,,7.92,0.2,5.51
Tilapia,26.49,6.61,32.9,5.23
Goldfish,,8.06,6.43,7.41
Eel,5.33,6.0,25.99,4.84
Tilapia,25.3,7.21,32.1,7.33
Catfish,22.95,7.08,26.56,6.99
Clownfish,24.96,7.96,1.57,6.98
Trout,12.9,7.1,3.77,11.5
Catfish,26.58,6.42,85.08,4.23
Goldfish,20.72,8.46,9.25,5.75
Goldfish,19.56,8.3,8.95,5.36
Salmon,12.36,7.27,0.4,7.69
Tilapia,22.98,6.79,20.84,6.35
Salmon,8.55,,9.0,10.8
Catfish,21.76,7.39,98.0,5.99
Catfish,21.46,6.59,93.56,4.66
Salmon,13.2,7.04,3.76,8.45
Eel,23.45,7.97,21.47,7.69
Bass,17.39,7.31,13.44,9.91
Bass,21.47,6.66,20.04,9.0
Clownfish,25.41,8.35,0.4,7.12
Bass,23.67,6.33,26.36,7.51
Tilapia,24.91,7.73,17.8,6.54
Salmon,11.78,7.34,7.68,9.19
Trout,13.74,6.66,1.03,8.34
Catfish,25.41,6.05,75.16,5.01
Clownfish,27.12,8.12,1.98,6.09
Clownfish,,8.24,0.66,7.09
Trout,13.93,7.07,7.04,10.34
Eel,15.77,7.46,22.42,3.12
Clownfish,24.4,8.15,0.05,6.72
Tilapia,26.49,7.57,46.84,7.44
Tilapia,27.1,6.94,11.91,
Salmon,,7.35,9.99,10.67
Catfish,20.14,7.3,41.66,6.31
Catfish,25.6,7.45,35.14,3.26
Salmon,13.82,7.02,3.92,11.96
Eel,13.73,7.16,11.52,4.3
Tilapia,,7.23,48.55,7.04
Trout,13.13,6.53,5.02,11.41
Tilapia,27.61,6.62,42.44,4.41
Goldfish,19.9,8.17,14.15,5.49
Trout,12.63,6.81,6.18,11.88
,8.94,7.01,9.65,10.17
Goldfish,21.15,8.4,13.13,6.15
Bass,18.05,7.18,38.23,6.25
Eel,,7.81,19.95,7.16
Eel,14.41,7.32,14.15,7.07
,17.77,7.14,17.74,7.88
Catfish,26.84,6.36,61.35,5.23
Tilapia,28.63,7.79,47.5,6.09
Goldfish,11.04,8.21,13.39,5.46
Eel,24.01,,15.04,7.07
Trout,12.11,7.47,4.98,
Eel,16.5,6.5,19.13,7.44
Bass,20.63,6.81,11.54,6.4
Tilapia,28.2,6.52,42.43,4.08
Clownfish,25.02,7.86,4.31,6.89
Eel,15.16,6.79,,6.59
Trout,14.47,6.69,9.96,9.2
Bass,23.9,7.02,15.23,8.27
Trout,17.24,7.05,1.55,7.7
Catfish,,6.25,16.23,4.6
Trout,16.53,6.73,9.04,7.13
Bass,19.93,7.16,35.93,8.04
,10.92,7.31,8.8,5.58
Tilapia,23.36,6.7,17.0,7.42
Trout,16.78,7.13,7.76,7.95
Goldfish,11.93,,13.63,7.29
Bass,21.3,6.29,22.64,7.85
Salmon,9.41,6.6,0.57,11.49
Catfish,22.67,7.7,22.69,4.58
Goldfish,11.02,7.03,,5.39
,22.33,7.49,13.35,
Goldfish,20.56,7.85,19.8,6.48
Salmon,9.3,6.88,0.61,9.66
Trout,10.09,7.21,1.6,8.47
Bass,17.19,6.14,5.48,6.69
Goldfish,18.42,7.98,15.97,5.41
Tilapia,26.26,7.2,36.6,5.61
Bass,22.06,6.27,,4.16
Catfish,20.32,6.12,32.81,4.81
Catfish,25.53,7.5,59.93,6.74
Tilapia,29.39,6.94,42.29,7.61
Clownfish,27.77,8.14,2.39,7.27
,16.21,7.1,9.41,10.17
Tilapia,24.12,7.58,,6.92
Catfish,20.25,6.19,55.28,3.26
Tilapia,28.61,6.72,40.97,7.23
Clownfish,27.17,8.02,,6.89
Eel,9.39,8.0,26.36,3.08
Goldfish,14.07,7.28,6.63,6.53
Salmon,11.13,7.09,3.28,6.23
Goldfish,10.16,7.27,19.2,7.7
Bass,17.35,6.97,40.18,6.81
Goldfish,16.65,7.09,12.21,7.22
Trout,12.65,7.37,4.49,7.2
Catfish,23.38,7.6,47.9,4.81
Salmon,8.11,7.35,0.9,11.13
Catfish,27.88,6.39,84.39,6.22
,15.08,6.56,22.84,6.47
Trout,10.47,7.11,2.35,10.23
Eel,11.83,6.94,10.58,7.61
,27.82,8.08,3.06,6.16
Catfish,27.7,7.03,96.1,6.04
Goldfish,24.38,7.02,18.1,5.32
Clownfish,27.87,,2.89,6.18
Trout,14.19,6.58,6.11,8.0
Bass,16.93,6.84,45.2,7.38
Salmon,13.13,7.5,1.5,6.63
Eel,6.55,7.57,26.94,5.39
Goldfish,22.08,7.35,,6.42
Eel,7.7,7.18,17.93,3.19
Goldfish,12.44,8.19,7.38,7.25
Clownfish,27.75,8.02,4.76,6.68
Bass,24.57,6.37,15.82,6.22
Salmon,8.83,7.33,5.32,9.37
Bass,17.97,6.85,26.38,5.14
Catfish,24.34,6.94,73.67,3.66
Bass,,6.33,41.12,5.42
Trout,11.51,6.81,3.7,9.28
Clownfish,25.32,8.17,0.77,6.21
Clownfish,26.63,8.06,3.35,
Clownfish,27.66,8.31,0.8,7.25
Goldfish,17.45,7.33,16.12,
Tilapia,23.08,7.32,36.06,4.06
Bass,19.81,6.21,17.31,7.0
Catfish,20.82,7.0,53.22,3.39
Catfish,24.69,7.81,68.13,5.33
Goldfish,14.59,8.42,11.33,5.97
Eel,16.09,7.26,27.87,6.57
Clownfish,24.64,8.19,4.0,6.65
Bass,23.19,6.72,31.92,9.0
Catfish,23.82,6.38,86.7,4.61
Clownfish,24.87,8.26,4.66,5.78
Catfish,20.99,7.32,78.5,3.26
Trout,10.75,6.72,4.59,10.02
Salmon,10.81,7.05,4.21,11.23
Eel,14.81,7.68,23.98,6.7
Salmon,12.86,7.06,3.99,7.84
Bass,16.95,6.21,5.6,4.88
Salmon,8.83,6.96,1.95,7.21
Bass,23.08,6.47,38.62,8.52
Eel,7.87,7.42,23.65,7.82
Salmon,8.69,6.61,1.3,10.39
Trout,14.7,7.01,4.13,
Eel,12.45,7.81,18.2,
Tilapia,24.83,7.47,25.49,6.7
Clownfish,25.55,8.38,3.38,7.74
,29.23,7.15,31.13,7.21
Goldfish,15.41,7.34,5.85,6.71
Catfish,24.36,7.59,30.5,3.2
Tilapia,26.88,7.18,40.07,7.29
Goldfish,11.33,7.38,15.25,7.05
Salmon,9.88,7.29,2.93,9.34
,17.09,7.07,13.39,7.63
Catfish,25.01,7.44,75.7,3.51
Tilapia,25.96,6.94,28.75,
,15.64,6.95,0.03,9.71
Goldfish,21.87,8.11,16.56,7.8
,29.38,6.97,45.18,5.47
Bass,24.47,6.12,45.21,
,24.28,7.3,29.21,6.87
,16.6,6.84,3.5,7.99
Salmon,12.98,6.63,3.01,11.33
Tilapia,28.66,7.82,32.18,4.7
Tilapia,26.61,7.91,34.48,7.03
Catfish,22.06,6.2,72.87,5.71
Eel,10.94,6.15,16.4,6.13
Bass,,6.36,31.93,
Catfish,22.0,6.58,6.91,4.1
Trout,17.56,7.07,7.66,10.62
Bass,21.79,7.1,17.12,9.19
Catfish,27.78,7.87,74.57,4.35
Clownfish,25.63,7.86,1.8,6.76
Salmon,8.29,7.1,9.24,10.9
Tilapia,28.77,7.79,31.07,7.82
Catfish,26.5,7.08,76.2,3.57
Clownfish,26.54,8.21,2.29,7.65
Tilapia,28.79,7.59,32.94,
Clownfish,26.67,8.24,0.23,6.19
Eel,7.66,7.0,19.74,6.26
Eel,19.29,6.36,18.03,3.77
Eel,23.17,7.75,24.63,6.06
Eel,8.11,7.84,28.21,3.66
Trout,15.04,6.61,6.99,7.79
Eel,6.64,7.29,11.39,5.36
Eel,22.6,7.19,21.03,7.87
Bass,22.54,7.28,31.53,5.24
Trout,10.3,6.96,6.2,7.31
Tilapia,23.79,7.2,21.35,7.36
Clownfish,26.64,8.28,1.6,6.29
Tilapia,25.41,7.46,43.6,6.43
Trout,15.06,7.4,8.93,7.63
,26.31,7.95,2.0,7.18
Eel,20.53,7.75,,5.04
Eel,24.06,6.51,10.77,5.4
Tilapia,27.06,7.38,37.7,5.91
Salmon,12.22,7.44,0.44,7.28
Eel,19.44,6.24,20.23,3.47
Goldfish,10.62,8.05,16.35,6.73
Trout,12.38,6.89,1.64,11.0
Trout,15.09,7.1,6.64,10.33
,20.62,6.63,5.09,
Clownfish,26.89,8.27,4.21,6.99
Tilapia,28.33,7.82,20.23,5.67
,23.14,7.53,10.19,5.87
Tilapia,27.26,6.62,38.67,4.34
Catfish,23.16,6.13,60.06,3.43
Tilapia,26.99,6.95,18.9,4.33
Eel,18.14,6.83,15.78,3.71
Tilapia,25.85,7.53,13.91,4.04
,24.43,6.74,24.16,7.89
Eel,21.07,6.4,25.93,4.8
Clownfish,24.0,7.91,4.83,7.25
Catfish,26.25,7.54,34.38,
Catfish,23.23,,32.34,4.9
Salmon,13.88,7.0,2.17,11.53
Bass,22.29,6.56,16.83,5.17
Trout,16.51,6.84,4.11,9.29
Trout,13.87,7.35,6.58,9.67
Catfish,21.5,7.57,,4.44
Trout,12.58,6.91,6.44,7.94
Clownfish,25.2,8.26,4.62,6.16
Trout,16.15,7.01,4.42,10.48
Clownfish,24.8,8.37,2.1,7.82
Goldfish,15.07,7.97,,6.41
Goldfish,24.17,,12.22,5.42
Eel,21.13,6.75,24.39,4.67
Goldfish,17.18,7.21,15.99,6.17
Bass,21.76,7.04,34.38,8.69
Bass,22.48,6.34,37.0,6.28
Tilapia,22.32,7.09,30.42,6.22
Bass,,6.49,42.56,5.14
Trout,17.79,7.14,9.74,11.46
Salmon,14.36,7.14,5.03,8.02
,25.59,7.9,1.88,6.45
Clownfish,27.93,8.03,1.42,7.88
Salmon,14.93,6.86,4.22,7.15
Bass,15.63,7.28,32.09,5.02
Clownfish,25.42,8.19,4.87,6.5
Salmon,13.13,6.63,1.33,10.77
Catfish,20.92,7.91,90.5,5.7
Bass,21.72,7.29,9.3,6.21
,24.81,7.8,24.93,4.46
Tilapia,26.11,7.65,39.06,4.31
Trout,16.0,7.23,7.99,10.5
Bass,18.69,6.65,46.15,6.33
Catfish,23.91,7.31,,5.71
,29.29,6.96,33.51,5.62
Bass,18.81,6.52,13.5,9.19
Tilapia,22.62,7.24,26.25,7.21
Salmon,,,2.21,8.07
Salmon,10.46,7.09,8.75,7.82
Catfish,,7.45,15.56,5.46
Catfish,20.93,7.01,48.89,5.29
Bass,24.72,6.12,40.79,9.5
Trout,15.79,6.68,1.73,8.35
Goldfish,14.57,7.08,19.4,7.67
Salmon,10.45,6.67,,8.74
Trout,16.87,7.48,6.27,10.19
Trout,17.18,7.39,2.4,9.24
Salmon,9.28,7.1,1.53,8.97
Eel,15.47,6.25,22.37,5.12
Catfish,23.56,7.62,57.39,4.76
Trout,12.05,6.89,6.97,10.82
Salmon,13.35,6.96,0.69,11.4
Clownfish,26.26,8.11,3.09,5.27
Salmon,10.93,7.27,3.5,10.66
,13.42,6.71,6.52,6.7
Bass,24.01,7.38,40.43,4.37
Clownfish,27.94,,4.54,6.73
,16.32,6.6,2.84,7.66
Eel,23.44,7.52,26.37,6.61
Tilapia,24.01,,13.63,5.54
Salmon,9.99,7.46,3.01,11.72
Bass,17.55,6.95,29.72,6.2
Tilapia,22.04,7.97,42.04,6.73
Trout,12.03,6.56,7.03,8.64
Tilapia,26.17,7.27,41.47,6.4
,24.21,8.31,3.65,7.06
Salmon,14.98,6.99,3.9,8.55
Clownfish,24.86,8.25,0.25,6.35
Bass,24.91,6.59,36.87,7.07
Catfish,22.43,7.2,7.48,3.48
Catfish,20.72,7.16,96.79,3.75
Tilapia,27.34,7.97,29.75,
Trout,15.69,7.21,5.66,10.51
Trout,10.16,7.27,6.95,7.38
Bass,17.9,6.15,27.27,4.13
Bass,23.44,6.47,7.68,8.67
Eel,21.69,6.02,20.57,7.09
Salmon,14.63,7.16,2.85,10.25
Eel,7.24,6.11,24.44,4.65
Bass,24.76,7.23,45.65,8.89
Bass,22.91,6.83,22.47,
Trout,10.61,,0.0,10.36
Trout,13.52,7.09,9.96,11.24
,13.07,8.15,13.7,
Clownfish,26.83,8.02,1.99,5.2
Catfish,22.1,7.68,54.08,5.56
Catfish,21.57,6.08,7.78,4.88
Goldfish,24.7,8.03,16.53,5.0
Eel,19.05,6.51,24.72,5.85
Catfish,24.45,7.73,97.02,6.54
Clownfish,24.66,8.25,2.49,5.77
Tilapia,29.39,7.46,48.64,5.01
Tilapia,22.21,7.46,47.0,4.62
Goldfish,17.76,7.65,9.09,7.91
Goldfish,12.08,7.12,7.56,7.75
Goldfish,11.05,7.36,15.57,7.55
Bass,20.79,6.81,47.15,8.71
Goldfish,24.3,7.51,17.76,5.92
Tilapia,28.14,6.75,48.73,5.99
Eel,13.8,7.07,12.44,3.42
Trout,11.08,7.32,9.64,7.85
Clownfish,26.1,7.93,2.24,6.1
Salmon,12.72,6.55,7.35,10.55
Trout,15.62,6.59,5.08,11.9
Bass,17.5,6.08,19.64,5.82
Clownfish,24.41,7.92,1.25,5.38
Clownfish,27.82,8.2,4.12,5.66
Bass,15.89,6.67,29.8,
Bass,22.54,7.4,7.26,6.6
Salmon,10.15,7.0,1.0,10.18
,24.95,6.18,22.25,5.84
Salmon,14.53,6.93,7.84,9.06
Goldfish,16.05,7.47,16.06,7.57
Bass,15.73,6.65,12.97,8.34
Bass,18.77,6.49,16.42,5.83
Bass,16.7,6.71,35.52,6.02
Eel,9.62,6.4,25.65,3.86
Tilapia,25.83,7.49,45.88,7.88
Trout,10.69,6.9,3.67,7.16
Eel,7.16,6.82,17.61,7.33
Catfish,26.82,6.63,92.31,4.19
Clownfish,24.36,7.88,3.12,6.21
Clownfish,25.36,8.12,4.08,5.87
Tilapia,22.9,6.91,33.25,7.35
Salmon,12.52,7.41,7.18,7.11
Salmon,12.22,7.25,7.02,10.44
Tilapia,23.07,7.41,31.67,4.03
Bass,18.8,7.31,46.49,7.89
Catfish,23.54,7.72,25.11,3.16
Bass,15.13,6.51,29.53,7.5
,11.38,7.97,8.26,7.83
Goldfish,12.34,8.32,10.97,6.26
Clownfish,24.89,8.15,3.6,6.27
Tilapia,26.91,,10.79,7.71
Eel,19.37,6.23,29.71,4.43
Trout,16.8,7.0,9.24,9.48
Eel,13.32,6.68,16.52,6.25
Salmon,12.38,7.33,3.14,6.46
Clownfish,27.39,7.89,3.9,7.65
Goldfish,21.77,7.23,11.06,5.2
Catfish,27.42,6.48,30.99,5.92
Goldfish,14.02,7.56,,
Tilapia,22.75,7.5,25.18,4.45
Eel,11.78,7.02,23.39,4.99
Bass,16.18,7.17,16.31,6.78
,15.51,7.36,46.96,
Salmon,9.7,7.49,2.02,7.56
Trout,14.43,6.7,9.75,10.72
Clownfish,25.3,8.36,4.32,
,18.93,6.73,12.33,9.39
Trout,13.83,6.94,4.43,7.15
Bass,21.73,7.37,24.44,8.27
Tilapia,,6.82,34.23,4.71
Salmon,13.02,6.79,3.19,10.0
Bass,20.05,7.41,31.42,4.82
Bass,18.54,6.31,5.12,8.17
Salmon,14.31,7.4,2.46,9.85
Bass,17.21,6.13,34.57,4.97
Eel,24.89,,,5.93
Clownfish,24.89,7.84,1.8,6.21
Tilapia,23.52,6.91,48.11,5.77
Salmon,12.9,6.58,,
Clownfish,27.78,,0.88,6.57
Tilapia,23.54,7.13,49.39,7.54
Trout,14.26,6.76,0.64,9.11
Salmon,14.81,6.63,7.5,6.99
Tilapia,29.83,,27.88,4.86
Goldfish,14.68,7.77,16.56,
Trout,17.12,6.57,3.07,8.53
Eel,21.09,7.61,18.13,4.68
Eel,12.12,6.05,21.51,5.5
Catfish,22.94,7.13,10.92,
Trout,12.71,7.48,1.28,7.84
Clownfish,25.34,7.82,4.36,
Eel,12.05,6.35,24.34,7.84
Eel,19.73,6.97,19.28,5.88
Salmon,,7.07,2.78,10.72
Goldfish,23.22,8.43,7.22,6.92
Clownfish,26.07,,1.81,5.95
Goldfish,12.39,7.73,16.14,7.67
Bass,21.18,6.22,35.91,8.48
Trout,15.64,6.58,0.87,7.76
Salmon,11.9,6.54,3.35,11.85
Bass,18.37,6.38,,6.37
Goldfish,21.44,7.42,12.46,7.47
Clownfish,26.41,8.01,4.35,6.54
Trout,12.87,6.74,2.52,7.25
Clownfish,26.9,8.3,3.22,7.55
Trout,13.51,6.7,9.58,8.75
Eel,21.87,,16.75,6.34
Clownfish,27.93,7.84,0.82,7.14
Catfish,26.32,7.24,25.15,4.07
Goldfish,22.9,7.36,13.46,6.02
Eel,18.67,6.29,10.4,4.06
Trout,13.78,6.92,3.1,10.95
Catfish,26.93,6.48,57.62,3.92
,27.4,8.27,4.39,6.48
Salmon,,6.55,5.93,11.5
Eel,8.38,7.16,19.65,7.79
Bass,18.06,6.26,9.03,8.64
Trout,13.54,7.23,7.82,8.47
Catfish,26.69,7.71,58.23,4.12
Clownfish,25.05,7.82,0.11,7.01
Bass,16.74,6.5,34.21,5.39
Salmon,9.42,7.02,9.9,8.03
Trout,12.42,6.83,8.35,10.18
Catfish,26.94,7.6,61.03,4.47
Clownfish,27.52,8.35,3.34,7.09
Catfish,21.61,,19.88,5.63
Bass,19.63,6.36,24.11,6.86
Clownfish,25.61,8.1,2.39,7.36
Tilapia,28.76,7.13,13.83,6.94
Catfish,23.52,6.56,44.51,4.0
Tilapia,,7.48,13.49,4.81
Salmon,,7.48,8.1,10.56
Catfish,27.64,6.18,71.13,4.82
Tilapia,27.04,6.88,31.78,6.36
Clownfish,27.87,8.36,1.64,7.43
Tilapia,24.07,7.64,41.51,
Goldfish,14.74,,15.67,7.14
Salmon,8.42,7.09,5.36,6.9
Salmon,11.42,6.7,5.68,9.1
Trout,16.47,6.87,2.31,10.74
Clownfish,26.99,7.9,3.62,6.99
Eel,20.77,7.61,26.36,5.61
,23.71,7.95,11.24,4.01
Goldfish,12.15,7.39,5.45,5.52
Goldfish,14.35,7.12,18.67,6.86
Trout,11.26,7.49,5.14,11.49
Bass,19.17,6.32,,9.17
Clownfish,27.73,8.14,1.1,5.63
Goldfish,22.44,7.06,,5.38
Trout,15.01,6.63,0.76,11.17
Clownfish,24.87,8.38,3.19,5.34
Bass,15.97,6.09,32.69,6.47
Tilapia,24.61,6.58,38.96,6.62
Salmon,8.84,6.6,6.63,11.35
Clownfish,24.76,8.36,2.76,5.75
Catfish,27.52,6.43,58.66,3.41
Goldfish,22.37,7.34,17.88,6.5
Salmon,8.08,6.6,0.46,11.42
Salmon,10.01,6.76,3.06,8.76
Tilapia,28.52,7.49,19.99,7.22
Tilapia,23.93,6.57,12.8,
Eel,,6.3,20.0,3.45
Eel,6.74,7.65,21.04,7.8
Eel,12.5,7.12,23.13,6.43
Salmon,11.21,6.85,3.31,10.62
Eel,9.83,7.55,20.2,6.97
Catfish,21.27,6.22,12.04,6.59
Eel,21.73,6.74,27.9,7.47
Goldfish,13.34,7.95,7.32,5.69
Goldfish,11.6,7.57,6.48,5.13
Clownfish,24.82,8.03,4.69,5.91
Bass,18.58,6.51,35.72,7.27
Goldfish,15.24,7.82,9.0,6.97
Bass,21.02,,48.86,5.49
Catfish,23.2,7.0,10.66,6.57
Trout,10.76,,5.2,8.38
Tilapia,29.81,6.98,43.52,
Tilapia,22.82,7.4,17.76,6.89
,26.32,7.82,3.27,6.78
Tilapia,29.6,6.66,42.9,4.94
Trout,,6.81,1.32,10.27
Catfish,27.95,7.68,22.29,4.64
,19.11,6.58,12.18,7.75
Tilapia,28.46,7.05,49.94,6.57
Catfish,26.03,7.92,6.03,6.87
Bass,23.6,7.45,28.16,8.73
Tilapia,23.26,7.86,47.48,7.79
Goldfish,12.49,7.69,19.16,6.23
Bass,23.31,6.11,32.49,4.32
Catfish,26.82,7.26,5.41,6.04
Clownfish,24.22,8.25,2.48,5.55
Salmon,13.91,7.47,1.04,8.17
Catfish,23.25,7.54,18.01,5.72
Bass,15.24,6.26,26.42,5.8
Salmon,10.3,7.49,8.23,9.03
Clownfish,26.66,8.0,2.06,7.23
Eel,24.51,7.25,25.02,7.2
Goldfish,15.42,7.98,8.1,5.11
Goldfish,21.51,,9.38,7.85
Goldfish,18.98,7.16,5.17,6.93
Tilapia,25.84,7.84,45.49,7.46
Goldfish,,7.63,,6.75
,11.52,7.23,1.61,10.55
Clownfish,26.91,8.07,2.82,5.6
Catfish,21.86,7.47,52.67,5.83
Tilapia,24.07,6.64,40.77,6.52
Eel,9.09,7.4,20.83,3.37
Bass,24.87,6.62,28.35,5.65
Bass,24.25,6.53,29.61,9.39
Clownfish,26.75,7.95,4.14,6.79
Trout,12.32,7.24,6.75,8.88
Catfish,22.47,7.07,27.49,6.43
Goldfish,11.57,7.8,19.16,5.54
Clownfish,25.79,7.96,1.06,5.4
Tilapia,24.02,7.68,42.05,5.49
Tilapia,27.97,7.91,14.0,7.93
Eel,22.15,6.47,29.33,5.44
,21.23,6.62,40.5,7.67
Eel,5.6,6.63,28.5,5.77
Eel,14.94,6.78,24.3,5.77
Trout,12.36,7.15,3.31,10.83
Catfish,22.17,6.43,76.18,6.47
Tilapia,22.09,6.82,16.08,6.17
Trout,16.01,6.98,3.57,9.13
Bass,19.86,7.24,18.33,4.09
Clownfish,24.77,7.86,3.45,6.01
Catfish,22.68,6.04,65.0,
Goldfish,10.11,8.16,,7.8
Trout,16.47,7.37,7.32,8.02
Bass,24.19,6.38,45.03,5.33
Bass,23.42,6.28,26.56,9.35
Catfish,26.46,,22.55,
Clownfish,26.58,8.39,2.94,7.07
Bass,19.31,6.41,33.74,7.43
Catfish,26.54,6.64,51.89,6.96
Clownfish,26.09,8.02,0.3,7.4
Salmon,12.42,6.82,8.87,11.63
Trout,16.38,6.68,3.94,11.44
Tilapia,23.48,,44.62,5.06
Salmon,9.4,7.18,8.51,6.76
Clownfish,25.27,8.06,4.86,6.84
Tilapia,22.8,7.66,12.83,5.04
Eel,15.42,6.41,28.13,6.76
Catfish,22.87,7.01,69.32,3.7
Catfish,27.46,6.48,90.91,5.11
Tilapia,28.0,7.9,12.72,5.53
Tilapia,29.7,,18.87,6.92
Catfish,23.7,,28.33,6.44
Catfish,21.03,6.33,87.52,3.94
,10.73,7.41,8.85,7.62
Catfish,20.09,7.54,93.9,3.07
Tilapia,26.34,7.77,,6.35
Goldfish,14.55,8.33,19.46,7.65
Bass,20.16,7.49,9.85,4.84
Tilapia,25.97,6.54,16.22,7.84
Clownfish,24.93,8.13,3.75,6.23
Salmon,9.81,7.33,8.79,7.3
Salmon,10.98,6.74,4.7,10.4
Catfish,20.89,6.17,7.78,4.55
Salmon,12.76,7.11,3.81,10.9
,23.42,7.11,,6.31
Goldfish,15.28,8.42,7.42,5.36
Tilapia,23.59,6.93,38.14,6.03
Salmon,14.44,6.7,5.08,10.81
Bass,16.14,6.6,17.08,5.75
Eel,23.94,7.54,24.46,5.38
Tilapia,28.35,7.44,18.71,6.24
Clownfish,27.98,8.39,4.74,5.48
Bass,21.11,6.88,33.08,9.25
Bass,24.91,7.09,19.16,9.45
Trout,12.17,6.72,3.86,11.45
Clownfish,26.52,,4.75,5.07
Catfish,24.82,6.48,50.31,6.54
Catfish,21.65,7.94,83.98,5.08
Goldfish,11.95,8.26,16.34,6.37
Goldfish,16.79,7.24,8.15,7.41
Trout,11.13,6.82,7.19,11.16
Catfish,,7.42,77.58,3.35
Goldfish,,7.9,19.07,6.55
Clownfish,24.02,8.18,0.3,6.53
Trout,14.3,6.75,8.21,9.9
Clownfish,26.38,7.94,,7.16
Catfish,26.68,6.25,57.7,6.21
Eel,20.79,6.31,16.25,3.5
Eel,23.64,6.63,22.24,5.52
Eel,9.8,6.92,23.49,4.69
Bass,18.73,6.82,34.3,9.35
Catfish,27.98,7.69,63.35,3.24
Goldfish,12.52,8.02,19.2,7.18
,,6.34,36.32,8.49
Salmon,14.66,7.13,2.94,10.57
Tilapia,22.27,7.5,,7.28
Catfish,26.61,7.84,97.25,4.2
Bass,,7.02,48.59,5.52
Bass,16.24,6.17,9.35,5.29
Eel,22.66,,23.64,5.94
Goldfish,24.67,7.51,18.34,6.47
Trout,13.11,,6.39,10.78
,8.65,6.66,,9.12
Goldfish,12.62,7.79,10.58,5.7
Tilapia,29.86,7.71,43.45,4.49
Clownfish,25.22,8.26,0.2,7.29
Salmon,9.59,7.31,1.2,7.42
Clownfish,26.44,7.94,3.68,6.52
Goldfish,19.94,7.03,15.52,5.74
Trout,,6.96,4.94,11.68
Trout,14.51,6.91,9.67,10.81
Trout,14.09,7.14,2.48,10.55
Catfish,26.41,7.88,86.29,5.06
Catfish,23.05,7.78,42.79,5.26
